eval_id,claim,true_label,source_type
1,Vaccination reduces risk of infectious diseases,reliable,youtube
2,Vaccination reduces risk of infectious diseases,reliable,forum
3,Vaccination reduces risk of infectious diseases,reliable,medical_source
4,turmeric may help improve concentration,uncertain,health_journal
5,Green tea might support metabolism,uncertain,tiktok
6,Intermittent fasting may improve some health markers,uncertain,youtube
7,Intermittent fasting may improve some health markers,uncertain,tiktok
8,Certain herbal remedies may reduce stress,uncertain,forum
9,turmeric could help with digestion,uncertain,health_journal
10,Washing hands reduces spread of bacteria and viruses,reliable,blog
11,honey cures all diseases,myth,health_journal
12,Exercise helps maintain cardiovascular health,reliable,social_media
13,turmeric could help with digestion,uncertain,medical_source
14,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
15,garlic instantly lowers blood sugar,myth,tiktok
16,honey instantly lowers blood sugar,myth,social_media
17,honey may help improve concentration,uncertain,blog
18,Washing hands reduces spread of bacteria and viruses,reliable,health_journal
19,Doctors hide natural cures from patients,myth,youtube
20,garlic cures all diseases,myth,blog
21,turmeric could help with digestion,uncertain,health_journal
22,Exercise helps maintain cardiovascular health,reliable,forum
23,Doctors hide natural cures from patients,myth,health_journal
24,Exercise helps maintain cardiovascular health,reliable,tiktok
25,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
26,apple cider vinegar cures all diseases,myth,tiktok
27,Vaccination reduces risk of infectious diseases,reliable,tiktok
28,Doctors hide natural cures from patients,myth,tiktok
29,Regular sleep supports brain function,reliable,social_media
30,Drinking only juice detoxes the body completely,myth,blog
31,green tea could help with digestion,uncertain,social_media
32,garlic could help with digestion,uncertain,forum
33,Certain herbal remedies may reduce stress,uncertain,blog
34,Exercise helps maintain cardiovascular health,reliable,tiktok
35,Green tea might support metabolism,uncertain,youtube
36,Doctors hide natural cures from patients,myth,blog
37,Green tea might support metabolism,uncertain,medical_source
38,Eating fruits and vegetables supports immunity,reliable,forum
39,lemon water cures all diseases,myth,forum
40,lemon water instantly lowers blood sugar,myth,tiktok
41,Regular sleep supports brain function,reliable,youtube
42,honey could help with digestion,uncertain,medical_source
43,green tea instantly lowers blood sugar,myth,social_media
44,Vaccines permanently weaken the immune system,myth,forum
45,Certain herbal remedies may reduce stress,uncertain,tiktok
46,apple cider vinegar could help with digestion,uncertain,youtube
47,Eating fruits and vegetables supports immunity,reliable,tiktok
48,Vaccination reduces risk of infectious diseases,reliable,youtube
49,turmeric could help with digestion,uncertain,health_journal
50,Eating fruits and vegetables supports immunity,reliable,youtube
51,Regular sleep supports brain function,reliable,social_media
52,Doctors hide natural cures from patients,myth,medical_source
53,Exercise helps maintain cardiovascular health,reliable,youtube
54,Vaccines permanently weaken the immune system,myth,tiktok
55,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
56,Exercise helps maintain cardiovascular health,reliable,blog
57,honey could help with digestion,uncertain,youtube
58,green tea instantly lowers blood sugar,myth,health_journal
59,Vaccines permanently weaken the immune system,myth,youtube
60,Eating fruits and vegetables supports immunity,reliable,youtube
61,Vaccines permanently weaken the immune system,myth,social_media
62,turmeric could help with digestion,uncertain,forum
63,Washing hands reduces spread of bacteria and viruses,reliable,health_journal
64,turmeric could help with digestion,uncertain,blog
65,Certain herbal remedies may reduce stress,uncertain,blog
66,Vaccines permanently weaken the immune system,myth,tiktok
67,Vaccines permanently weaken the immune system,myth,blog
68,Regular sleep supports brain function,reliable,social_media
69,Certain herbal remedies may reduce stress,uncertain,forum
70,Vaccines permanently weaken the immune system,myth,forum
71,Exercise helps maintain cardiovascular health,reliable,medical_source
72,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
73,apple cider vinegar may help improve concentration,uncertain,tiktok
74,Green tea might support metabolism,uncertain,medical_source
75,Washing hands reduces spread of bacteria and viruses,reliable,youtube
76,Certain herbal remedies may reduce stress,uncertain,blog
77,Exercise helps maintain cardiovascular health,reliable,medical_source
78,Vaccination reduces risk of infectious diseases,reliable,medical_source
79,Green tea might support metabolism,uncertain,medical_source
80,Drinking only juice detoxes the body completely,myth,medical_source
81,Intermittent fasting may improve some health markers,uncertain,social_media
82,Exercise helps maintain cardiovascular health,reliable,tiktok
83,ginger tea instantly lowers blood sugar,myth,youtube
84,Drinking only juice detoxes the body completely,myth,forum
85,honey cures all diseases,myth,forum
86,lemon water cures all diseases,myth,tiktok
87,Intermittent fasting may improve some health markers,uncertain,blog
88,Drinking only juice detoxes the body completely,myth,forum
89,Certain herbal remedies may reduce stress,uncertain,youtube
90,Washing hands reduces spread of bacteria and viruses,reliable,forum
91,ginger tea instantly lowers blood sugar,myth,health_journal
92,Intermittent fasting may improve some health markers,uncertain,blog
93,Certain herbal remedies may reduce stress,uncertain,blog
94,Eating fruits and vegetables supports immunity,reliable,health_journal
95,Intermittent fasting may improve some health markers,uncertain,health_journal
96,Washing hands reduces spread of bacteria and viruses,reliable,youtube
97,Doctors hide natural cures from patients,myth,tiktok
98,Doctors hide natural cures from patients,myth,forum
99,Drinking only juice detoxes the body completely,myth,social_media
100,Vaccination reduces risk of infectious diseases,reliable,medical_source
101,Vaccines permanently weaken the immune system,myth,social_media
102,ginger tea instantly lowers blood sugar,myth,tiktok
103,Intermittent fasting may improve some health markers,uncertain,blog
104,green tea may help improve concentration,uncertain,blog
105,lemon water may help improve concentration,uncertain,social_media
106,Vaccination reduces risk of infectious diseases,reliable,blog
107,Green tea might support metabolism,uncertain,youtube
108,Vaccination reduces risk of infectious diseases,reliable,tiktok
109,Green tea might support metabolism,uncertain,forum
110,lemon water could help with digestion,uncertain,blog
111,lemon water could help with digestion,uncertain,youtube
112,Drinking only juice detoxes the body completely,myth,tiktok
113,ginger tea could help with digestion,uncertain,tiktok
114,Washing hands reduces spread of bacteria and viruses,reliable,social_media
115,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
116,Certain herbal remedies may reduce stress,uncertain,medical_source
117,ginger tea may help improve concentration,uncertain,social_media
118,Drinking only juice detoxes the body completely,myth,health_journal
119,Eating fruits and vegetables supports immunity,reliable,medical_source
120,turmeric cures all diseases,myth,youtube
121,Certain herbal remedies may reduce stress,uncertain,youtube
122,Eating fruits and vegetables supports immunity,reliable,blog
123,Doctors hide natural cures from patients,myth,blog
124,Regular sleep supports brain function,reliable,tiktok
125,Doctors hide natural cures from patients,myth,health_journal
126,Washing hands reduces spread of bacteria and viruses,reliable,blog
127,Green tea might support metabolism,uncertain,social_media
128,Certain herbal remedies may reduce stress,uncertain,forum
129,Eating fruits and vegetables supports immunity,reliable,forum
130,Drinking only juice detoxes the body completely,myth,social_media
131,Drinking only juice detoxes the body completely,myth,tiktok
132,Green tea might support metabolism,uncertain,medical_source
133,Washing hands reduces spread of bacteria and viruses,reliable,forum
134,Doctors hide natural cures from patients,myth,tiktok
135,Eating fruits and vegetables supports immunity,reliable,forum
136,Drinking only juice detoxes the body completely,myth,social_media
137,Doctors hide natural cures from patients,myth,youtube
138,ginger tea could help with digestion,uncertain,health_journal
139,Eating fruits and vegetables supports immunity,reliable,medical_source
140,Intermittent fasting may improve some health markers,uncertain,social_media
141,Exercise helps maintain cardiovascular health,reliable,tiktok
142,apple cider vinegar instantly lowers blood sugar,myth,forum
143,Vaccines permanently weaken the immune system,myth,health_journal
144,ginger tea may help improve concentration,uncertain,social_media
145,Intermittent fasting may improve some health markers,uncertain,medical_source
146,Green tea might support metabolism,uncertain,social_media
147,Green tea might support metabolism,uncertain,social_media
148,Certain herbal remedies may reduce stress,uncertain,social_media
149,lemon water instantly lowers blood sugar,myth,health_journal
150,Vaccines permanently weaken the immune system,myth,youtube
151,Eating fruits and vegetables supports immunity,reliable,forum
152,Regular sleep supports brain function,reliable,social_media
153,lemon water could help with digestion,uncertain,health_journal
154,lemon water cures all diseases,myth,blog
155,Eating fruits and vegetables supports immunity,reliable,social_media
156,green tea may help improve concentration,uncertain,tiktok
157,Vaccination reduces risk of infectious diseases,reliable,tiktok
158,Certain herbal remedies may reduce stress,uncertain,social_media
159,Intermittent fasting may improve some health markers,uncertain,forum
160,Intermittent fasting may improve some health markers,uncertain,youtube
161,Vaccination reduces risk of infectious diseases,reliable,social_media
162,Certain herbal remedies may reduce stress,uncertain,medical_source
163,Washing hands reduces spread of bacteria and viruses,reliable,medical_source
164,lemon water cures all diseases,myth,blog
165,Green tea might support metabolism,uncertain,medical_source
166,Green tea might support metabolism,uncertain,youtube
167,Vaccination reduces risk of infectious diseases,reliable,health_journal
168,Eating fruits and vegetables supports immunity,reliable,youtube
169,Green tea might support metabolism,uncertain,social_media
170,Green tea might support metabolism,uncertain,health_journal
171,Eating fruits and vegetables supports immunity,reliable,blog
172,Regular sleep supports brain function,reliable,health_journal
173,Green tea might support metabolism,uncertain,youtube
174,lemon water could help with digestion,uncertain,blog
175,Regular sleep supports brain function,reliable,social_media
176,Washing hands reduces spread of bacteria and viruses,reliable,medical_source
177,Doctors hide natural cures from patients,myth,youtube
178,apple cider vinegar could help with digestion,uncertain,forum
179,Drinking only juice detoxes the body completely,myth,blog
180,Eating fruits and vegetables supports immunity,reliable,forum
181,Regular sleep supports brain function,reliable,medical_source
182,Green tea might support metabolism,uncertain,youtube
183,apple cider vinegar may help improve concentration,uncertain,tiktok
184,Drinking only juice detoxes the body completely,myth,blog
185,Certain herbal remedies may reduce stress,uncertain,blog
186,lemon water could help with digestion,uncertain,social_media
187,Vaccines permanently weaken the immune system,myth,medical_source
188,Washing hands reduces spread of bacteria and viruses,reliable,tiktok
189,Vaccines permanently weaken the immune system,myth,health_journal
190,turmeric instantly lowers blood sugar,myth,health_journal
191,honey cures all diseases,myth,blog
192,honey instantly lowers blood sugar,myth,youtube
193,Green tea might support metabolism,uncertain,tiktok
194,Exercise helps maintain cardiovascular health,reliable,blog
195,garlic cures all diseases,myth,tiktok
196,Green tea might support metabolism,uncertain,health_journal
197,Intermittent fasting may improve some health markers,uncertain,medical_source
198,Intermittent fasting may improve some health markers,uncertain,social_media
199,Drinking only juice detoxes the body completely,myth,tiktok
200,Certain herbal remedies may reduce stress,uncertain,blog
201,Eating fruits and vegetables supports immunity,reliable,forum
202,Washing hands reduces spread of bacteria and viruses,reliable,forum
203,Eating fruits and vegetables supports immunity,reliable,medical_source
204,Vaccination reduces risk of infectious diseases,reliable,youtube
205,Regular sleep supports brain function,reliable,youtube
206,Eating fruits and vegetables supports immunity,reliable,youtube
207,turmeric instantly lowers blood sugar,myth,social_media
208,Washing hands reduces spread of bacteria and viruses,reliable,youtube
209,Eating fruits and vegetables supports immunity,reliable,medical_source
210,Vaccines permanently weaken the immune system,myth,blog
211,Eating fruits and vegetables supports immunity,reliable,health_journal
212,Vaccination reduces risk of infectious diseases,reliable,tiktok
213,Intermittent fasting may improve some health markers,uncertain,youtube
214,garlic instantly lowers blood sugar,myth,tiktok
215,Washing hands reduces spread of bacteria and viruses,reliable,youtube
216,Vaccines permanently weaken the immune system,myth,medical_source
217,Eating fruits and vegetables supports immunity,reliable,blog
218,Vaccination reduces risk of infectious diseases,reliable,tiktok
219,Regular sleep supports brain function,reliable,blog
220,Intermittent fasting may improve some health markers,uncertain,forum
221,Washing hands reduces spread of bacteria and viruses,reliable,blog
222,Exercise helps maintain cardiovascular health,reliable,medical_source
